Run	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[cell type]	Sample Characteristic Ontology Term[cell type]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[metastatic site]	Sample Characteristic Ontology Term[metastatic site]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[RNA interference]	Factor Value Ontology Term[RNA interference]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Analysed
ERR2707361	BxPC-3	http://www.ebi.ac.uk/efo/EFO_0002709	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000228	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	scrambled siRNA		BxPC-3	http://www.ebi.ac.uk/efo/EFO_0002709	Yes
ERR2707362	BxPC-3	http://www.ebi.ac.uk/efo/EFO_0002709	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000228	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	scrambled siRNA		BxPC-3	http://www.ebi.ac.uk/efo/EFO_0002709	Yes
ERR2707363	BxPC-3	http://www.ebi.ac.uk/efo/EFO_0002709	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000228	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	scrambled siRNA		BxPC-3	http://www.ebi.ac.uk/efo/EFO_0002709	Yes
ERR2707364	BxPC-3	http://www.ebi.ac.uk/efo/EFO_0002709	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000228	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	p63 knockdown by siRNA		BxPC-3	http://www.ebi.ac.uk/efo/EFO_0002709	Yes
ERR2707365	BxPC-3	http://www.ebi.ac.uk/efo/EFO_0002709	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000228	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	p63 knockdown by siRNA		BxPC-3	http://www.ebi.ac.uk/efo/EFO_0002709	Yes
ERR2707366	BxPC-3	http://www.ebi.ac.uk/efo/EFO_0002709	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000228	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	p63 knockdown by siRNA		BxPC-3	http://www.ebi.ac.uk/efo/EFO_0002709	Yes
ERR2707367	L3.6pl		epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	pancreatic adenosquamous carcinoma	http://www.ebi.ac.uk/efo/EFO_0006732	celiac lymph node	http://purl.obolibrary.org/obo/UBERON_0002508	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	scrambled siRNA		L3.6pl		Yes
ERR2707368	L3.6pl		epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	pancreatic adenosquamous carcinoma	http://www.ebi.ac.uk/efo/EFO_0006732	celiac lymph node	http://purl.obolibrary.org/obo/UBERON_0002508	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	scrambled siRNA		L3.6pl		Yes
ERR2707369	L3.6pl		epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	pancreatic adenosquamous carcinoma	http://www.ebi.ac.uk/efo/EFO_0006732	celiac lymph node	http://purl.obolibrary.org/obo/UBERON_0002508	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	scrambled siRNA		L3.6pl		Yes
ERR2707370	L3.6pl		epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	pancreatic adenosquamous carcinoma	http://www.ebi.ac.uk/efo/EFO_0006732	celiac lymph node	http://purl.obolibrary.org/obo/UBERON_0002508	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	p63 knockdown by siRNA		L3.6pl		Yes
ERR2707371	L3.6pl		epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	pancreatic adenosquamous carcinoma	http://www.ebi.ac.uk/efo/EFO_0006732	celiac lymph node	http://purl.obolibrary.org/obo/UBERON_0002508	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	p63 knockdown by siRNA		L3.6pl		Yes
ERR2707372	L3.6pl		epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	pancreatic adenosquamous carcinoma	http://www.ebi.ac.uk/efo/EFO_0006732	celiac lymph node	http://purl.obolibrary.org/obo/UBERON_0002508	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	p63 knockdown by siRNA		L3.6pl		Yes
